uniqueID,site,plot,quad,ind,emerg.date,phen.1,itero.per?,date.1,stem.diam.1,height.1,total.branch.1,longest.leaf.1,buds.1,flrs.1,fruits.1,longest.fruit.1,notes.1,herb.1,protocol.notes.1,phen.2,date.2,stem.diam.2,height.2,total.branch.2,longest.leaf.2,buds.2,flrs.2,fruits.2,longest.fruit.2,notes.2,herb.2,protocol.notes.2,phen.3,date.3,stem.diam.3,height.3,total.branch.3,longest.leaf.3,buds.3,flrs.3,fruits.3,longest.fruit.3,notes.3,herb.3,protocol.notes.3,phen.4,date.4,stem.diam.4,height.4,total.branch.4,longest.leaf.4,buds.4,flrs.4,fruits.4,longest.fruit.4,notes.4,herb.4,protocol.notes.4,date.5,phen.5,stem.diam.5,height.5,total.branch.5,longest.leaf.5,buds.5,flrs.5,fruits.5,longest.fruit.5,notes.5,herb.5,protocol.notes.5,date.6,phen.6,stem.diam.6,height.6,total.branch.6,longest.leaf.6,buds.6,flrs.6,fruits.6,longest.fruit.6,notes.6,herb.6,protocol.notes.6,date.7,phen.7,stem.diam.7,height.7,total.branch.7,longest.leaf.7,buds.7,flrs.7,fruits.7,longest.fruit.7,notes.7,herb.7,date.8,phen.8,stem.diam.8,height.8,total.branch.8,longest.leaf.8,buds.8,flrs.8,fruits.8,longest.fruit.8,canopy.width.8,notes.8,herb.8
LVTR2.5 PNA QNA #1,LVTR2.5,NA,NA,1,(8/9/17),SX,N,8/9/17,2.28,18,1,NA,NA,NA,5,6.3,,,,S,8/15/17,2.28,18,1,NA,NA,NA,5,6.3,,,,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,,,"if SX, did not measure other traits",SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,,,,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,,,stem diam. On veg. and growing repro. All true today. (wrote what I measured w/o considering human error closely) unless it is smaller in which case I write what I had last time,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LVTR2.5 PNA QNA #2,LVTR2.5,NA,NA,2,(8/9/17),F,N,8/9/17,1.49,14,2,NA,NA,2,6,4.4,,,,S,8/15/17,1.49,14,2,NA,0,0,6,4.4,must have senesced very quickly: F last time w/2 flrs,,,P/B,8/21/17,1.49,14,2,NA,6,0,6,4.4,"pods dehiscing and dry, but budding (photo)",,,F,8/28/17,1.49,14,2,NA,6,4,6,4.4,"P/B-->F; pods dehiscing and dry, but new leaves & flrs",,,9/2/17,F,1.49,14,2,NA,3,2,9,4.4,,,Nearly all V or SX. One flowering,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LVTR2.5 PNA QNA #3,LVTR2.5,NA,NA,3,(8/9/17),V,N,8/9/17,2.46,4,2,1.1,NA,NA,NA,NA,,,,V,8/15/17,2.46,4,2,1,NA,NA,NA,NA,,,,V,8/21/17,2.46,4.5,2,1.4,NA,NA,NA,NA,,,,V,8/28/17,3.67,4.5,2,1.4,NA,NA,NA,NA,bolting? Not sure,,,9/2/17,V,4.15,4.5,2,1.4,NA,NA,NA,NA,,,,9/11/17,V,4.15,4.5,2,1.4,NA,NA,NA,NA,NA,,NA,9/18/17,V,4.15,4.5,2,1.4,NA,NA,NA,NA,NA,,9/30/17,V,3.8,2.6,1,1.4,NA,NA,NA,NA,2.5,,
LVTR2.5 PNA QNA #4,LVTR2.5,NA,NA,4,(8/9/17),V,N,8/9/17,1.1,2,1,0.9,NA,NA,NA,NA,,,,V,8/15/17,1.1,2,1,0.9,NA,NA,NA,NA,,,,V,8/21/17,1.1,3.2,1,0.9,NA,NA,NA,NA,,,,V,8/28/17,1.46,3.2,1,1.2,NA,NA,NA,NA,,,,9/2/17,V,1.62,3.5,1,1.2,NA,NA,NA,NA,,,,9/11/17,V,1.62,3.5,1,1.2,NA,NA,NA,NA,NA,,NA,9/18/17,V,1.62,3.5,1,1.2,NA,NA,NA,NA,NA,,9/30/17,V,3.01,2.5,1,1.1,NA,NA,NA,NA,2.3,,
LVTR2.5 PNA QNA #5,LVTR2.5,NA,NA,5,(8/9/17),SX,N,8/9/17,1.78,8.7,1,NA,NA,NA,4,3.5,,,,SX,8/15/17,1.78,8.7,1,NA,NA,NA,4,3.5,,,,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,,,,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,,,,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,,,,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LVTR2.5 PNA QNA #6,LVTR2.5,NA,NA,6,(8/9/17),V,N,8/9/17,1.31,5.1,3,0.7,NA,NA,NA,NA,,,,V,8/15/17,1.31,5.1,3,0.7,NA,NA,NA,NA,,,,V,8/21/17,1.31,5.1,3,1,NA,NA,NA,NA,,,,V,8/28/17,1.31,5.1,3,1,NA,NA,NA,NA,,,,9/2/17,V,1.5,5.1,3,1,NA,NA,NA,NA,,,,9/11/17,V,1.5,5.1,3,1,NA,NA,NA,NA,NA,,NA,9/18/17,V,1.5,5.1,3,1,NA,NA,NA,NA,NA,,9/30/17,V,2.3,4.5,2,1.2,NA,NA,NA,NA,2.5,,
LVTR2.5 PNA QNA #7,LVTR2.5,NA,NA,7,(8/9/17),SX,N,8/9/17,1.94,10.4,1,NA,NA,NA,3,5.3,,,,SX,8/15/17,1.94,10.4,1,NA,NA,NA,3,5.3,,,,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,couldn't find,,,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,,,,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,,,,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LVTR2.5 PNA QNA #8,LVTR2.5,NA,NA,8,(8/9/17),V,N,8/9/17,1.67,4.5,1,1.3,NA,NA,NA,NA,found above plant #1,,,V,8/15/17,1.67,4.5,1,1.3,NA,NA,NA,NA,NEAR #1,,,V,8/21/17,1.67,4.8,1,1.5,NA,NA,NA,NA,near #1,,,V,8/28/17,1.67,5.5,1,1.5,NA,NA,NA,NA,,,,9/2/17,V,2.16,5.5,1,1.5,NA,NA,NA,NA,,,,9/11/17,V,2.16,6.6,1,1.5,NA,NA,NA,NA,NA,,NA,9/18/17,V,2.16,6.6,1,1.5,NA,NA,NA,NA,NA,,9/30/17,V,1.82,6.5,1,1.4,NA,NA,NA,NA,NA,,
LVTR2.5 PNA QNA #9,LVTR2.5,NA,NA,9,(8/9/17),SX,N,8/9/17,1.8,13,4,NA,NA,NA,11,6.4,,,,SX,8/15/17,1.8,13,4,NA,NA,NA,11,6.3,,,,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,,,,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,,,,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,,,,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,2.9,,
LVTR2.5 PNA QNA #10,LVTR2.5,NA,NA,10,(8/9/17),V,N,8/9/17,1.7,2.5,1,0.7,NA,NA,NA,NA,,,,V,8/15/17,1.7,2.5,1,0.7,NA,NA,NA,NA,,,,V,8/21/17,1.7,2.5,1,0.7,NA,NA,NA,NA,,,,V,8/28/17,1.7,2.5,1,0.7,NA,NA,NA,NA,,,,9/2/17,V,1.7,2.5,1,0.7,NA,NA,NA,NA,,,,9/11/17,V,1.7,2.5,1,0.7,NA,NA,NA,NA,NA,,NA,9/18/17,V,1.7,2.5,1,0.7,NA,NA,NA,NA,NA,,9/30/17,V,1.47,1.3,1,0.9,NA,NA,NA,NA,NA,,
